id	filename	md5	size	state
c6a90ccd-c8f2-43a2-b5f7-4527b02b6f37	TCGA-ER-A193-06A-01-TSA.D2751354-A8B7-4F7A-A4F1-D062DE5CEB14.svs	41e5b5393a9aef9c4a9b940ad8340a87	249170881	released
17a31e47-5e55-4e2e-8c63-2657e89ccfd7	TCGA-D9-A148-06A-01-TS1.3377F551-5F1B-4B3C-8B9E-F6F46724A471.svs	3b602051e8a1e566f3a64dce6c04f1a5	318169741	released
4a49ec4d-b08e-44a0-a687-e7c4dd7bec5c	TCGA-EE-A3AD-06A-01-TSA.5B299749-EFC9-4A5D-A59E-C3CD19BDA54F.svs	2d4f5465443df0cff77d39b82e249a2a	201799231	released
fd3636fe-9672-455d-9028-5eb29c5a617e	TCGA-DA-A1I0-06A-01-TSA.5BBB6F03-E882-4CF9-8972-6096F566553F.svs	18ac1689e708c0b50e3f404a35ee0a5d	312045515	released
263f6f9d-3fd9-4959-b302-1fd62a9d034e	TCGA-D3-A1Q8-06A-01-TSA.B1957928-0079-4ADD-8E62-A170F141481D.svs	1382f1d35b6725e0377a6cd8aa732081	338876479	released
fe1bef37-ec3c-4ea9-a93c-578a5b01dda8	TCGA-ER-A19O-06A-01-TSA.FA169A6D-3F8D-4637-A84D-564A894373EC.svs	c219cf0761ed9c7ec0ca4ce5d042f65d	218389545	released
f4135d9d-7d91-4f97-8530-f8ea0154cbce	TCGA-BF-AAP0-06A-01-TS1.8DB46CFB-F182-4C6A-AC44-0AA6A1A6607F.svs	072e940efbff2591c868144a42a9e999	338964247	released
369e595b-7b7e-4570-a60a-c9aedd3fe112	TCGA-WE-A8JZ-06A-01-TSA.CC726080-198D-4E79-89BA-06F12510A417.svs	4a802472220ec4b24771c36a69cb31a2	237140937	released
6eeab757-3e14-4395-b962-2ebcaed1a4fd	TCGA-DA-A1I2-06A-02-TSB.098C3438-2709-40DC-961D-F0D0665EF586.svs	25da1ec582b07b08182e9374adc29068	263676457	released
8b6ad903-9fca-4afc-82b7-a3304d769df2	TCGA-GN-A9SD-06A-01-TSA.AD1BADC7-7C47-4D9B-AD5B-BDD63C857A32.svs	250c72183e3d84fd23f7b431eb01c781	235458631	released
8dc90ee8-cca5-4e9a-945c-c59d1d9a2017	TCGA-D3-A3MV-06A-01-TSA.802F3768-3F98-4797-9ACD-16DCF03B543D.svs	84050550a87b3e0dd9ae451dc59ce33e	151477763	released
32d4a72f-4d23-4435-b4c8-d26e632c3df4	TCGA-QB-AA9O-06A-01-TS1.C2D878F8-BD47-47DA-B834-E749DC044FB4.svs	701ae610ee1e5138bbaf35bd30508009	329281273	released
c6d2bf4c-061e-4908-8656-1ebd05bcf17d	TCGA-D3-A5GR-06A-01-TS1.820B491D-318D-402C-8B10-854D52439417.svs	5f144e60d97c8bb480a3513dc6ab7c80	367272269	released
7403900d-b2ec-4a45-a716-c1c6e86d5e35	TCGA-ER-A42L-06A-01-TSA.24CE9770-AB90-402D-8AAA-98D9B22E16D4.svs	816857c03c905304ee1a45e44690f790	240581005	released
eb827189-b91f-440a-b544-2875cebdaf61	TCGA-FS-A1ZZ-06A-01-TSA.5E4F343A-5517-4313-B588-7CA17900AA1F.svs	a2775d77804c78ea2ceddcdb96575fba	277441827	released
be7b8856-0e9b-46b3-8595-08b6cf56584b	TCGA-D3-A3MR-06A-01-TSA.5E621761-116D-4DB4-8CED-31740533E28B.svs	6a2031d8c918617178c93bea5b16d059	126771401	released
